bids_subject	bids_xdf	raw_xdf	original_participant
sub-001	001_arithmetic.xdf	001_arithmetic.xdf	001
sub-003	003_arithmetic.xdf	003_arithmetic.xdf	003
sub-004	004_arithmetic.xdf	004_arithmetic.xdf	004
sub-005	005_arithmetic.xdf	005_arithmetic.xdf	005
sub-006	006_arithmetic.xdf	006_arithmetic.xdf	006
sub-007	007_arithmetic.xdf	007_arithmetic.xdf	007
sub-008	008_arithmetic.xdf	008_arithmetic.xdf	008
sub-009	009_arithmetic.xdf	009_arithmetic.xdf	009
sub-010	010_arithmetic.xdf	010_arithmetic.xdf	010
sub-011	011_arithmetic.xdf	011_arithmetic.xdf	011
sub-012	012_arithmetic.xdf	012_arithmetic.xdf	012
sub-013	013_arithmetic.xdf	013_arithmetic.xdf	013
sub-014	014_arithmetic.xdf	014_arithmetic.xdf	014
sub-015	015_arithmetic.xdf	015_arithmetic.xdf	015
sub-016	016_arithmetic.xdf	016_arithmetic.xdf	016
sub-018	018_arithmetic.xdf	018_arithmetic.xdf	018
sub-019	019_arithmetic.xdf	019_arithmetic.xdf	019
sub-020	020_arithmetic.xdf	020_arithmetic.xdf	020
